from,to,share
CAN,GAB,0.021255242492075
AUS,GBR,0.2496769429719811
USA,GBR,0.15313049480110655
CAN,GBR,0.11388730077911775
ESP,GBR,0.07816498278098662
IRL,GBR,0.06709133669650097
RUS,GEO,0.5067485912765486
GRC,GEO,0.09558126434667129
UKR,GEO,0.06775166762270578
AZE,GEO,0.050512373501372776
USA,GEO,0.04984292929205395
USA,GHA,0.2533808098011193
NGA,GHA,0.17957658360053128
GBR,GHA,0.1481434754003022
CIV,GHA,0.08418584966195021
ITA,GHA,0.05653192948471845
CIV,GIN,0.2226210932316507
FRA,GIN,0.18104054397535596
USA,GIN,0.08929770823912157
SEN,GIN,0.06550309287129825
DEU,GIN,0.05243192896020622
USA,GMB,0.293335432848242
ITA,GMB,0.15809384895128215
DEU,GMB,0.13826699527689892
ESP,GMB,0.12653126489829647
GBR,GMB,0.07375660823954903
PRT,GNB,0.3533839231933372
SEN,GNB,0.16926705236094697
FRA,GNB,0.08749603968967189
ESP,GNB,0.08372485704860551
GMB,GNB,0.07047313367023032
DEU,GRC,0.3656702166330036
USA,GRC,0.12773069710383164
AUS,GRC,0.10379110477789344
GBR,GRC,0.06829500407485557
CAN,GRC,0.06713951047355018
USA,GRD,0.5106968753744331
GBR,GRD,0.1709703192461718
CAN,GRD,0.15152695590871376
TTO,GRD,0.11149078531508283
USA,GTM,0.9144418433617616
MEX,GTM,0.02713553724666044
USA,GUY,0.5966533538528398
CAN,GUY,0.19823816966392052
GBR,GUY,0.06545834566857492
SUR,GUY,0.02604829244062619
TTO,GUY,0.021273498821015514
USA,HKG,0.22934049058402886
CAN,HKG,0.22223316950047803
CHN,HKG,0.20697257777424904
GBR,HKG,0.12259239960151432
AUS,HKG,0.10346900454596801
USA,HND,0.823650917736512
ESP,HND,0.08985565793472652
MEX,HND,0.029561069283100646
DEU,HRV,0.40794835963313747
SRB,HRV,0.2556537291904114
AUS,HRV,0.05200809220361795
AUT,HRV,0.05009487212722968
CAN,HRV,0.039920974090944986
USA,HTI,0.4920965675825513
DOM,HTI,0.21742111138209935
CHL,HTI,0.11473795770571601
FRA,HTI,0.06407054129041588
CAN,HTI,0.06149624525382688
DEU,HUN,0.2926121293979906
GBR,HUN,0.12973043894798983
AUT,HUN,0.11710203655413563
USA,HUN,0.09109686787136728
CAN,HUN,0.05380507120411881
SAU,IDN,0.3754554007379331
MYS,IDN,0.2523068806759544
ARE,IDN,0.07457189458204515
SGP,IDN,0.04116155620828237
HKG,IDN,0.03325493713615991
ARE,IND,0.22177362393844907
USA,IND,0.17687277472560184
SAU,IND,0.14603999408078822
OMN,IND,0.071756170415517
KWT,IND,0.071118950829294
GBR,IRL,0.48506663425046964
USA,IRL,0.1625906045189555
AUS,IRL,0.11685575043248264
CAN,IRL,0.0406469848294171
ESP,IRL,0.029458469826211215
DEU,IRQ,0.13820623244081937
TUR,IRQ,0.13767056823348983
USA,IRQ,0.1327429655181289
JOR,IRQ,0.07874293435105262
SYR,IRQ,0.0767012364201472
DNK,ISL,0.21122359523320722
USA,ISL,0.20661879469390076
NOR,ISL,0.1851771748736084
SWE,ISL,0.14627359790460798
ESP,ISL,0.04535831400331759
USA,ISR,0.3902635301296467
PSE,ISR,0.16863995093140524
CAN,ISR,0.07858205147615109
DEU,ISR,0.05529828865365263
GBR,ISR,0.05380888646793527
DEU,ITA,0.2017744892127759
USA,ITA,0.10330500606856045
FRA,ITA,0.0973321617178565
CHE,ITA,0.08600221875087452
CAN,ITA,0.07846090004061318
USA,JAM,0.7310836342649447
CAN,JAM,0.12797384634226283
GBR,JAM,0.10353656378494079
SAU,JOR,0.2870209143758596
ARE,JOR,0.21602437663699528
USA,JOR,0.1180847886749638
KWT,JOR,0.068091392941265
PSE,JOR,0.057108640262562696
USA,JPN,0.43994554302927324
BRA,JPN,0.07570750525121156
