from,to,share
BEL,ESP,0.03374559682085585
ITA,ESP,0.02654770901075307
RUS,EST,0.2807282577189252
FIN,EST,0.23147898187903365
USA,EST,0.08112405588783336
GBR,EST,0.06323840626623943
DEU,EST,0.059526030879479004
UKR,EST,0.04968370949649292
SWE,EST,0.047019628822812264
NOR,EST,0.0235293761868264
USA,ETH,0.33220623230551916
SAU,ETH,0.17518113612555652
ISR,ETH,0.09024721459808266
CAN,ETH,0.03900449363323248
SDN,ETH,0.03712461173921041
ZAF,ETH,0.030700786584790755
ITA,ETH,0.02838443413198803
DEU,ETH,0.027212424867640892
SWE,ETH,0.027014513109254016
NLD,ETH,0.023897719595665154
SWE,FIN,0.45904078616647687
USA,FIN,0.10819393496135393
GBR,FIN,0.06980437849961064
DEU,FIN,0.06058811027047897
ESP,FIN,0.053293194728594596
CAN,FIN,0.03408942814007844
AUS,FIN,0.028454949281235636
NOR,FIN,0.024874144076731153
EST,FIN,0.020068052431170505
AUS,FJI,0.3514351083391682
NZL,FJI,0.27505446167221964
USA,FJI,0.21616889192965294
CAN,FJI,0.11539779908920991
GBR,FJI,0.02755923653056859
ESP,FRA,0.09631826054425832
BEL,FRA,0.08766500745279247
USA,FRA,0.08490843514669887
CHE,FRA,0.08416893613574637
GBR,FRA,0.07683008398887557
DEU,FRA,0.06488049805943343
ITA,FRA,0.05582704917380045
CAN,FRA,0.052657345752529894
PRT,FRA,0.04734284301308099
ISR,FRA,0.029697221328623246
FRA,GAB,0.5800476048175442
MLI,GAB,0.21539990149528315
COG,GAB,0.048790011581213266
CAN,GAB,0.021255242492075
AUS,GBR,0.2496769429719811
USA,GBR,0.15313049480110655
CAN,GBR,0.11388730077911775
ESP,GBR,0.07816498278098662
IRL,GBR,0.06709133669650097
NZL,GBR,0.060264473535071805
FRA,GBR,0.03475314938942116
RUS,GEO,0.5067485912765486
GRC,GEO,0.09558126434667129
UKR,GEO,0.06775166762270578
AZE,GEO,0.050512373501372776
USA,GEO,0.04984292929205395
DEU,GEO,0.03968007025318702
ARM,GEO,0.03923957217137267
TUR,GEO,0.03272659087917277
FRA,GEO,0.023406463179553815
USA,GHA,0.2533808098011193
NGA,GHA,0.17957658360053128
GBR,GHA,0.1481434754003022
CIV,GHA,0.08418584966195021
ITA,GHA,0.05653192948471845
DEU,GHA,0.050273128110444175
TGO,GHA,0.03559517716934537
CAN,GHA,0.028240207163464762
BFA,GHA,0.025236612844467064
CIV,GIN,0.2226210932316507
FRA,GIN,0.18104054397535596
USA,GIN,0.08929770823912157
SEN,GIN,0.06550309287129825
DEU,GIN,0.05243192896020622
GMB,GIN,0.051433006364172563
BEL,GIN,0.05070010015616356
MLI,GIN,0.047730375915972144
SLE,GIN,0.0410167277115854
LBR,GIN,0.030688038166375033
USA,GMB,0.293335432848242
ITA,GMB,0.15809384895128215
DEU,GMB,0.13826699527689892
ESP,GMB,0.12653126489829647
GBR,GMB,0.07375660823954903
SWE,GMB,0.04663583968981751
CIV,GMB,0.027699897252779593
PRT,GNB,0.3533839231933372
SEN,GNB,0.16926705236094697
FRA,GNB,0.08749603968967189
ESP,GNB,0.08372485704860551
GMB,GNB,0.07047313367023032
CPV,GNB,0.0336473948961325
ITA,GNB,0.032269704497776046
LUX,GNB,0.03211867355891074
GBR,GNB,0.02290452459129171
GIN,GNB,0.022556672081539744
DEU,GRC,0.3656702166330036
USA,GRC,0.12773069710383164
AUS,GRC,0.10379110477789344
GBR,GRC,0.06829500407485557
CAN,GRC,0.06713951047355018
ALB,GRC,0.027956406120025118
TUR,GRC,0.0279290561292185
CYP,GRC,0.022838237893658197
NLD,GRC,0.022230439238990783
SWE,GRC,0.02015020805472917
USA,GRD,0.5106968753744331
GBR,GRD,0.1709703192461718
CAN,GRD,0.15152695590871376
TTO,GRD,0.11149078531508283
USA,GTM,0.9144418433617616
MEX,GTM,0.02713553724666044
USA,GUY,0.5966533538528398
CAN,GUY,0.19823816966392052
GBR,GUY,0.06545834566857492
SUR,GUY,0.02604829244062619
TTO,GUY,0.021273498821015514
FRA,GUY,0.020007178911521237
USA,HKG,0.22934049058402886
CAN,HKG,0.22223316950047803
CHN,HKG,0.20697257777424904
GBR,HKG,0.12259239960151432
AUS,HKG,0.10346900454596801
SGP,HKG,0.06724392053179996
MAC,HKG,0.022312640840360172
USA,HND,0.823650917736512
ESP,HND,0.08985565793472652
MEX,HND,0.029561069283100646
DEU,HRV,0.40794835963313747
SRB,HRV,0.2556537291904114
AUS,HRV,0.05200809220361795
