source,target,v
842,120,201588.01099999982
528,120,189228.60599999997
792,120,185847.12000000023
76,120,177749.83400000026
842,124,301878936.17100036
156,124,61874507.46700007
484,124,33180216.676999953
276,124,14431175.780999992
392,124,13467288.11000001
410,124,10173755.65699999
704,124,9814278.453000005
826,124,7397639.380999993
380,124,7091607.688000016
76,124,5985041.10399998
620,132,390061.53000000183
528,132,140579.4870000001
156,132,102499.89399999988
724,132,78790.05200000001
76,132,38926.16700000002
56,132,17273.94200000002
251,132,12631.980000000001
710,132,10793.952
380,132,9934.915
842,132,8930.229999999998
276,136,992424.1890000001
842,136,961660.9659999971
380,136,669939.347
792,136,165927.054
156,136,158948.70299999998
251,136,85902.25200000002
826,136,42495.69799999998
388,136,36371.067000000025
757,136,18957.480999999992
392,136,17629.017000000003
699,140,68830.55399999999
156,140,54558.782000000014
56,140,37575.44999999998
251,140,29698.686999999987
384,140,26301.831
784,140,20989.992000000002
842,140,13334.556999999999
528,140,12230.572999999995
724,140,10456.896000000002
440,140,8698.974999999999
699,144,3601084.5960000004
156,144,3480924.107000008
784,144,1728984.4100000055
702,144,908222.440000003
458,144,753054.4060000016
842,144,493047.7109999991
643,144,395039.374
360,144,382797.82200000016
586,144,325978.6909999997
682,144,289836.48500000016
156,148,377553.1149999997
784,148,307388.442
792,148,129002.01099999997
251,148,118638.93900000013
699,148,66488.98000000005
528,148,37487.80099999996
204,148,36720.744999999995
56,148,30542.89000000001
842,148,26988.451999999997
826,148,22584.067000000014
156,152,19088568.94600003
842,152,17142139.162999973
76,152,8058648.253000008
32,152,5728604.3820000095
276,152,3798678.166000002
392,152,2419314.3060000027
604,152,1963590.8959999983
724,152,1786933.3449999965
484,152,1673978.8360000008
410,152,1486842.0119999996
410,156,161625166.34299988
842,156,145334425.0450005
36,156,138974758.23099983
643,156,129002538.47500011
392,156,123955663.42500009
76,156,104584701.32999998
276,156,101612493.92800005
490,156,96569991.97099993
704,156,85690371.04600003
458,156,74319658.95299996
842,162,48933.078
36,162,33871.47599999992
458,162,987.0979999999998
242,162,236.20000000000002
702,162,158.37900000000002
372,162,114.079
554,162,90.727
579,162,11.148
826,162,9.898
360,162,9.088000000000001
36,166,11376.10200000001
842,166,435.32899999999995
752,166,199.808
76,166,184.416
702,166,175.15200000000002
792,166,107.225
251,166,103.46000000000001
528,166,68.57300000000001
124,166,40.919
826,166,29.904
842,170,16423601.68900004
156,170,13323483.953999985
76,170,3945748.6679999996
484,170,3061214.944999994
276,170,2264807.521999994
251,170,2069255.5189999994
32,170,1410541.198000001
392,170,1367242.6279999993
699,170,1302105.5649999985
724,170,1225062.8089999978
156,174,110990.20100000002
784,174,94758.30999999995
834,174,54661.53099999999
251,174,30416.477000000006
699,174,26597.811000000005
586,174,25735.192999999996
792,174,20628.25600000001
76,174,8268.247
450,174,7685.33300000001
56,174,7439.922000000003
156,178,1496704.6899999974
266,178,574019.4020000002
251,178,368405.84899999935
784,178,291842.65399999986
842,178,191442.00899999985
380,178,186641.31099999996
699,178,181721.393
528,178,149149.68900000007
792,178,146508.00999999986
710,178,126311.50600000014
156,180,4485383.5249999985
894,180,1602578.9810000025
710,180,1562198.784999998
699,180,593644.5250000005
56,180,521108.90700000117
784,180,511481.9299999994
800,180,410858.7590000006
834,180,312809.32999999984
251,180,227575.36800000028
76,180,192587.649
554,184,93683.1910000001
380,184,56075.034
242,184,19094.32600000002
156,184,13991.801000000009
36,184,6909.2510000000075
792,184,5229.440000000003
842,184,4103.403
392,184,2169.1939999999995
764,184,2169.0499999999997
300,184,1843.246
842,188,8420031.308999985
156,188,3341399.246999998
484,188,1426135.953000002
320,188,645000.4739999991
76,188,568996.1189999995
276,188,508818.3419999993
392,188,482759.5019999999
170,188,381886.88899999927
724,188,364456.819000001
152,188,314013.18300000037
380,191,6202921.167000004
276,191,6081148.436999985
705,191,4906937.668
348,191,2744900.975
40,191,2383174.0690000006
528,191,1697044.477000004
616,191,1687049.0500000017
156,191,1569004.9870000025
842,191,1507288.6800000044
70,191,1412433.8589999953
724,192,937503.0920000017
156,192,503719.4489999996
528,192,389573.29800000024
842,192,366387.76200000005
124,192,220199.59900000034
76,192,220128.5830000001
276,192,186202.32000000007
380,192,175930.14800000002
484,192,108882.12800000003
699,192,89420.43500000003
300,196,3167618.018000009
792,196,2302202.2160000065
826,196,1549185.3890000011
380,196,1156123.4670000013
156,196,906638.9899999994
724,196,897566.83500000206
276,196,815619.0499999989
376,196,673716.5720000007
528,196,518947.7679999993
392,196,371510.57000000007
276,203,54040280.25900006
156,203,31935357.885999937
616,203,18398201.40299999
703,203,13061547.936000034
380,203,9099046.493000004
40,203,7405476.9769999795
528,203,7113153.000000009
251,203,6979778.831000003
348,203,6607647.971999987
842,203,4985018.103000001
156,204,1515167.5770000007
699,204,908425.885999998
842,204,357369.3970000001
251,204,311272.05400000024
566,204,239937.09900000048
784,204,198913.10599999994
360,204,186560.592
458,204,147524.19500000007
768,204,143184.55999999988
56,204,125506.14199999995
276,208,23692303.712000024
752,208,14536740.713000009
579,208,12625519.041000063
528,208,11208852.49099999
156,208,8605528.479000017
616,208,5724375.977999994
842,208,5387509.712999998
251,208,4360069.915000007
380,208,4249434.972999992
56,208,3964575.598999997
156,212,70677.30899999994
842,212,67842.25399999999
360,212,34789.78299999999
380,212,28892.165999999997
490,212,18295.878000000008
826,212,8339.761999999997
76,212,5587.092000000003
392,212,5249.045999999999
528,212,5203.9540000000015
251,212,4813.230000000002
842,214,12702017.640000053
156,214,5202788.105000004
76,214,1135643.484999999
484,214,1134065.304000001
724,214,1098030.0360000008
380,214,775936.9000000007
170,214,608693.4630000006
392,214,495009.68299999984
276,214,451752.25700000004
699,214,412355.2779999999
842,218,7373104.633999987
156,218,6014448.199000002
170,218,2065654.0299999993
604,218,1164946.314999997
76,218,1136062.9280000003
410,218,847448.3019999999
724,218,833537.0780000001
380,218,826954.4970000008
392,218,725200.9290000002
484,218,633328.9290000005
842,222,4288501.218999989
156,222,2314642.363000001
320,222,1871792.9489999956
484,222,1274358.644
340,222,649358.4950000009
558,222,484598.2379999992
188,222,450227.223000001
410,222,301581.88299999986
392,222,277250.336
76,222,267330.55100000004
156,226,201675.8019999996
724,226,165646.06399999993
842,226,97280.25500000009
266,226,53337.416000000005
826,226,49312.73799999999
792,226,41403.03900000002
528,226,36719.16499999998
784,226,30900.582
251,226,26402.273000000012
380,226,24359.502999999993
156,231,4013561.806000002
414,231,1328371.2209999994
682,231,1046818.9850000007
842,231,835678.857000002
699,231,759889.8149999996
504,231,676805.4809999996
784,231,672849.1929999989
818,231,456892.58400000026
826,231,375981.0679999995
792,231,372742.1499999994
156,232,138884.57200000016
784,232,119855.58799999989
792,232,39348.580999999955
842,232,30514.45300000001
380,232,20412.155000000002
699,232,17470.162
528,232,12224.689000000004
710,232,9956.907999999996
56,232,5594.610000000001
276,232,4755.539000000001
246,233,2993110.8589999904
276,233,2655715.029000001
428,233,1987443.3310000007
440,233,1972091.885000002
752,233,1636794.289999999
156,233,1581483.2989999976
616,233,1206812.3419999983
528,233,862411.2330000001
380,233,765171.166000002
842,233,619905.4000000001
826,238,116551.04099999995
300,238,32169.585000000003
724,238,18818.923
528,238,1487.0970000000002
554,238,429.032
842,238,328.99800000000005
504,238,316.526
276,238,288.937
372,238,263.691
76,238,226.347
702,242,800483.988000001
156,242,565576.0809999994
36,242,481609.8120000001
554,242,432933.68899999926
458,242,227942.6769999998
842,242,155762.5570000001
392,242,98073.73700000004
699,242,95517.91499999992
764,242,92168.74599999993
490,242,56570.782999999996
276,246,11968326.616999995
752,246,11371651.565999996
156,246,6734354.84799999
579,246,6216667.012999999
528,246,4726604.2480000025
842,246,3375042.2720000013
233,246,2887598.4449999994
616,246,2782186.347999986
380,246,2382130.6379999956
251,246,2178903.190999999
276,251,121215933.44100001
56,251,84925789.73599975
380,251,65041597.861999996
528,251,64619537.917999975
