iso,name,longitude,latitude,metric,size,label_l,label_r
BDI,Burundi,29.88518227845293,-3.261251993278643,dollar,47999999.99999997,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">USD 48 million</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. Tanzania - USD 16 million (34%)<p style=""margin-top: 0; margin-bottom: 2px;"">2. Rwanda - USD 9 million (19%)<p style=""margin-top: 0; margin-bottom: 2px;"">3. Uganda - USD 3 million (7%)"
BDI,Burundi,29.88518227845293,-3.261251993278643,pgdp,0.017292320240555405,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">1% of GDP</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. Tanzania (34% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">2. Rwanda (19% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">3. Uganda (7% of total)</p>"
BEL,Belgium,4.675010154696485,50.6182138854095,dollar,15883123728.57143,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">USD 16 billion</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. France - USD 4 billion (28%)<p style=""margin-top: 0; margin-bottom: 2px;"">2. Netherlands - USD 2 billion (11%)<p style=""margin-top: 0; margin-bottom: 2px;"">3. Italy - USD 1 billion (8%)"
BEL,Belgium,4.675010154696485,50.6182138854095,pgdp,0.026438876607661706,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">1% of GDP</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. France (28% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">2. Netherlands (11% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">3. Italy (8% of total)</p>"
BEN,Benin,2.305714528830206,9.503013199615893,dollar,204285895.60279813,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">USD 204 million</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. Nigeria - USD 106 million (52%)<p style=""margin-top: 0; margin-bottom: 2px;"">2. Cote d'Ivoire - USD 20 million (10%)<p style=""margin-top: 0; margin-bottom: 2px;"">3. Togo - USD 19 million (9%)"
BEN,Benin,2.305714528830206,9.503013199615893,pgdp,0.011549651947442913,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">0.8% of GDP</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. Nigeria (52% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">2. Cote d'Ivoire (10% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">3. Togo (9% of total)</p>"
BFA,Burkina Faso,-1.6932816211842323,12.108709036312735,dollar,560550000.0000004,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">USD 561 million</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. Cote d'Ivoire - USD 469 million (84%)<p style=""margin-top: 0; margin-bottom: 2px;"">2. Ghana - USD 23 million (4%)<p style=""margin-top: 0; margin-bottom: 2px;"">3. Mali - USD 18 million (3%)"
BFA,Burkina Faso,-1.6932816211842323,12.108709036312735,pgdp,0.028537364419828296,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">3% of GDP</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. Cote d'Ivoire (84% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">2. Ghana (4% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">3. Mali (3% of total)</p>"
BGD,Bangladesh,90.43212562608612,23.673728665121,dollar,22202917783.868633,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">USD 22 billion</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. India - USD 6 billion (26%)<p style=""margin-top: 0; margin-bottom: 2px;"">2. Saudi Arabia - USD 4 billion (19%)<p style=""margin-top: 0; margin-bottom: 2px;"">3. United Arab Emirates - USD 4 billion (17%)"
BGD,Bangladesh,90.43212562608612,23.673728665121,pgdp,0.0533384464758597,"<p style=""margin-top: 0; margin-bottom: 5px;"">Remittances received:</p><p style=""margin-top: 0; margin-bottom: 5px;"">3% of GDP</p>","<p style=""margin-top: 0; margin-bottom: 5px;"">Top senders:</p><p style=""margin-top: 0; margin-bottom: 2px;"">1. India (26% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">2. Saudi Arabia (19% of total)</p><p style=""margin-top: 0; margin-bottom: 2px;"">3. United Arab Emirates (17% of total)</p>"
